dham,date,month,day_of_week,day_of_season,is_weekend,is_festival,weather_code,pass_quota_pct,crowd_level
yamunotri,2010-05-01,5,5,1,1,1,1,0.9768,Extreme
gangotri,2010-05-01,5,5,1,1,1,1,1.0,Extreme
kedarnath,2010-05-01,5,5,1,1,1,1,1.0,Extreme
badrinath,2010-05-01,5,5,1,1,1,1,1.0,Extreme
yamunotri,2010-05-02,5,6,2,1,1,1,0.9939,Extreme
gangotri,2010-05-02,5,6,2,1,1,1,0.9686,Extreme
kedarnath,2010-05-02,5,6,2,1,1,1,0.9333,Extreme
badrinath,2010-05-02,5,6,2,1,1,1,1.0,Extreme
yamunotri,2010-05-03,5,0,3,0,1,1,1.0,Extreme
gangotri,2010-05-03,5,0,3,0,1,1,0.8273,High
kedarnath,2010-05-03,5,0,3,0,1,1,1.0,Extreme
badrinath,2010-05-03,5,0,3,0,1,1,1.0,Extreme
yamunotri,2010-05-04,5,1,4,0,1,1,0.9853,Extreme
gangotri,2010-05-04,5,1,4,0,1,1,0.9879,Extreme
kedarnath,2010-05-04,5,1,4,0,1,1,0.8506,Extreme
badrinath,2010-05-04,5,1,4,0,1,1,0.8602,Extreme
yamunotri,2010-05-05,5,2,5,0,0,1,0.755,High
gangotri,2010-05-05,5,2,5,0,0,1,0.8684,Extreme
kedarnath,2010-05-05,5,2,5,0,0,1,0.676,High
badrinath,2010-05-05,5,2,5,0,0,1,0.8241,High
yamunotri,2010-05-06,5,3,6,0,0,1,0.7557,High
gangotri,2010-05-06,5,3,6,0,0,1,0.6998,High
kedarnath,2010-05-06,5,3,6,0,0,1,0.7209,High
badrinath,2010-05-06,5,3,6,0,0,1,0.9206,Extreme
yamunotri,2010-05-07,5,4,7,0,0,1,0.6952,High
gangotri,2010-05-07,5,4,7,0,0,1,0.9022,Extreme
kedarnath,2010-05-07,5,4,7,0,0,1,0.9814,Extreme
badrinath,2010-05-07,5,4,7,0,0,1,0.9828,Extreme
yamunotri,2010-05-08,5,5,8,1,0,1,0.7612,High
gangotri,2010-05-08,5,5,8,1,0,1,0.768,High
kedarnath,2010-05-08,5,5,8,1,0,1,1.0,Extreme
badrinath,2010-05-08,5,5,8,1,0,1,0.9606,Extreme
yamunotri,2010-05-09,5,6,9,1,0,1,0.9298,Extreme
gangotri,2010-05-09,5,6,9,1,0,1,0.8929,Extreme
kedarnath,2010-05-09,5,6,9,1,0,1,0.8635,Extreme
badrinath,2010-05-09,5,6,9,1,0,1,0.9136,Extreme
yamunotri,2010-05-10,5,0,10,0,0,1,0.7947,High
gangotri,2010-05-10,5,0,10,0,0,2,0.6296,Medium
kedarnath,2010-05-10,5,0,10,0,0,1,0.8772,Extreme
badrinath,2010-05-10,5,0,10,0,0,1,0.9175,Extreme
yamunotri,2010-05-11,5,1,11,0,0,1,0.7621,High
gangotri,2010-05-11,5,1,11,0,0,1,0.9895,Extreme
kedarnath,2010-05-11,5,1,11,0,0,1,0.7223,High
badrinath,2010-05-11,5,1,11,0,0,1,0.7649,High
yamunotri,2010-05-12,5,2,12,0,0,1,0.9025,Extreme
gangotri,2010-05-12,5,2,12,0,0,1,0.7963,High
kedarnath,2010-05-12,5,2,12,0,0,1,0.8976,Extreme
badrinath,2010-05-12,5,2,12,0,0,1,0.7085,High
yamunotri,2010-05-13,5,3,13,0,0,1,0.712,High
gangotri,2010-05-13,5,3,13,0,0,1,0.7433,High
kedarnath,2010-05-13,5,3,13,0,0,1,0.6962,High
badrinath,2010-05-13,5,3,13,0,0,1,0.687,High
yamunotri,2010-05-14,5,4,14,0,0,1,0.7641,High
gangotri,2010-05-14,5,4,14,0,0,1,0.6881,High
kedarnath,2010-05-14,5,4,14,0,0,1,0.7468,High
badrinath,2010-05-14,5,4,14,0,0,1,0.9933,Extreme
yamunotri,2010-05-15,5,5,15,1,0,1,0.7416,High
gangotri,2010-05-15,5,5,15,1,0,1,1.0,Extreme
kedarnath,2010-05-15,5,5,15,1,0,1,0.99,Extreme
badrinath,2010-05-15,5,5,15,1,0,1,0.9595,Extreme
yamunotri,2010-05-16,5,6,16,1,1,1,1.0,Extreme
gangotri,2010-05-16,5,6,16,1,1,1,0.9599,Extreme
kedarnath,2010-05-16,5,6,16,1,1,1,0.8873,Extreme
badrinath,2010-05-16,5,6,16,1,1,1,1.0,Extreme
yamunotri,2010-05-17,5,0,17,0,0,1,0.7692,High
gangotri,2010-05-17,5,0,17,0,0,1,0.987,Extreme
kedarnath,2010-05-17,5,0,17,0,0,1,0.6811,High
badrinath,2010-05-17,5,0,17,0,0,1,0.9245,Extreme
yamunotri,2010-05-18,5,1,18,0,0,2,0.9356,Extreme
gangotri,2010-05-18,5,1,18,0,0,2,0.7381,High
kedarnath,2010-05-18,5,1,18,0,0,2,0.8386,High
badrinath,2010-05-18,5,1,18,0,0,2,0.7214,High
yamunotri,2010-05-19,5,2,19,0,0,1,0.7985,High
gangotri,2010-05-19,5,2,19,0,0,2,0.7857,High
kedarnath,2010-05-19,5,2,19,0,0,2,0.7623,High
badrinath,2010-05-19,5,2,19,0,0,2,0.9475,Extreme
yamunotri,2010-05-20,5,3,20,0,0,1,0.7933,High
gangotri,2010-05-20,5,3,20,0,0,1,0.9653,Extreme
kedarnath,2010-05-20,5,3,20,0,0,1,0.6539,High
badrinath,2010-05-20,5,3,20,0,0,1,0.8271,High
yamunotri,2010-05-21,5,4,21,0,0,2,0.8067,High
gangotri,2010-05-21,5,4,21,0,0,2,0.784,High
kedarnath,2010-05-21,5,4,21,0,0,2,0.6645,High
badrinath,2010-05-21,5,4,21,0,0,2,0.6546,High
yamunotri,2010-05-22,5,5,22,1,0,1,0.8446,High
gangotri,2010-05-22,5,5,22,1,0,1,0.924,Extreme
kedarnath,2010-05-22,5,5,22,1,0,1,0.9388,Extreme
badrinath,2010-05-22,5,5,22,1,0,1,0.8719,Extreme
yamunotri,2010-05-23,5,6,23,1,0,1,1.0,Extreme
gangotri,2010-05-23,5,6,23,1,0,1,1.0,Extreme
kedarnath,2010-05-23,5,6,23,1,0,1,0.8561,Extreme
badrinath,2010-05-23,5,6,23,1,0,1,0.8448,High
yamunotri,2010-05-24,5,0,24,0,0,1,0.8982,Extreme
gangotri,2010-05-24,5,0,24,0,0,1,0.7232,High
kedarnath,2010-05-24,5,0,24,0,0,1,0.7444,High
badrinath,2010-05-24,5,0,24,0,0,1,0.9374,Extreme
yamunotri,2010-05-25,5,1,25,0,0,1,0.8485,High
gangotri,2010-05-25,5,1,25,0,0,1,0.8252,High
kedarnath,2010-05-25,5,1,25,0,0,1,0.9217,Extreme
badrinath,2010-05-25,5,1,25,0,0,1,0.8918,Extreme
yamunotri,2010-05-26,5,2,26,0,1,2,0.9799,Extreme
gangotri,2010-05-26,5,2,26,0,1,2,0.9044,Extreme
kedarnath,2010-05-26,5,2,26,0,1,2,0.908,Extreme
badrinath,2010-05-26,5,2,26,0,1,2,0.9452,Extreme
yamunotri,2010-05-27,5,3,27,0,0,1,0.7688,High
gangotri,2010-05-27,5,3,27,0,0,1,0.752,High
kedarnath,2010-05-27,5,3,27,0,0,1,0.7518,High
badrinath,2010-05-27,5,3,27,0,0,1,0.7226,High
yamunotri,2010-05-28,5,4,28,0,0,0,0.5883,Medium
gangotri,2010-05-28,5,4,28,0,0,0,0.595,Medium
kedarnath,2010-05-28,5,4,28,0,0,1,0.9501,Extreme
badrinath,2010-05-28,5,4,28,0,0,0,0.5703,Medium
yamunotri,2010-05-29,5,5,29,1,0,1,0.9359,Extreme
gangotri,2010-05-29,5,5,29,1,0,1,1.0,Extreme
kedarnath,2010-05-29,5,5,29,1,0,1,1.0,Extreme
badrinath,2010-05-29,5,5,29,1,0,1,0.9344,Extreme
yamunotri,2010-05-30,5,6,30,1,0,1,0.8005,High
gangotri,2010-05-30,5,6,30,1,0,1,0.9845,Extreme
kedarnath,2010-05-30,5,6,30,1,0,1,0.9643,Extreme
badrinath,2010-05-30,5,6,30,1,0,1,0.9257,Extreme
yamunotri,2010-05-31,5,0,31,0,0,1,0.9543,Extreme
gangotri,2010-05-31,5,0,31,0,0,1,0.9071,Extreme
kedarnath,2010-05-31,5,0,31,0,0,1,0.7869,High
badrinath,2010-05-31,5,0,31,0,0,1,0.6922,High
yamunotri,2010-06-01,6,1,32,0,0,1,0.7264,High
gangotri,2010-06-01,6,1,32,0,0,1,0.9418,Extreme
kedarnath,2010-06-01,6,1,32,0,0,1,0.6957,High
badrinath,2010-06-01,6,1,32,0,0,1,0.9808,Extreme
yamunotri,2010-06-02,6,2,33,0,0,2,0.843,High
gangotri,2010-06-02,6,2,33,0,0,2,0.6014,Medium
kedarnath,2010-06-02,6,2,33,0,0,2,0.636,Medium
