dham,date,month,day_of_week,day_of_season,is_weekend,is_festival,weather_code,pass_quota_pct,crowd_level
yamunotri,2018-05-01,5,1,1,0,1,1,0.6563,High
gangotri,2018-05-01,5,1,1,0,1,1,0.6563,High
kedarnath,2018-05-01,5,1,1,0,1,1,0.6563,High
badrinath,2018-05-01,5,1,1,0,1,1,0.6563,High
yamunotri,2018-05-02,5,2,2,0,1,0,0.7058,Low
gangotri,2018-05-02,5,2,2,0,1,0,0.7058,High
kedarnath,2018-05-02,5,2,2,0,1,0,0.7058,High
badrinath,2018-05-02,5,2,2,0,1,0,0.7058,High
yamunotri,2018-05-03,5,3,3,0,1,1,0.8192,High
gangotri,2018-05-03,5,3,3,0,1,1,0.8192,High
kedarnath,2018-05-03,5,3,3,0,1,1,0.8192,High
badrinath,2018-05-03,5,3,3,0,1,1,0.8192,Medium
yamunotri,2018-05-04,5,4,4,0,1,1,0.6717,Low
gangotri,2018-05-04,5,4,4,0,1,1,0.6717,High
kedarnath,2018-05-04,5,4,4,0,1,1,0.6717,High
badrinath,2018-05-04,5,4,4,0,1,1,0.6717,Low
yamunotri,2018-05-05,5,5,5,1,1,0,0.6598,High
gangotri,2018-05-05,5,5,5,1,1,0,0.6598,High
kedarnath,2018-05-05,5,5,5,1,1,0,0.6598,High
badrinath,2018-05-05,5,5,5,1,1,0,0.6598,High
yamunotri,2018-05-06,5,6,6,1,0,0,0.737,High
gangotri,2018-05-06,5,6,6,1,0,0,0.737,High
kedarnath,2018-05-06,5,6,6,1,0,0,0.737,High
badrinath,2018-05-06,5,6,6,1,0,0,0.737,High
yamunotri,2018-05-07,5,0,7,0,0,0,0.4295,Medium
gangotri,2018-05-07,5,0,7,0,0,0,0.4295,Medium
kedarnath,2018-05-07,5,0,7,0,0,0,0.4295,Medium
badrinath,2018-05-07,5,0,7,0,0,0,0.4295,Medium
yamunotri,2018-05-08,5,1,8,0,0,1,0.568,Medium
gangotri,2018-05-08,5,1,8,0,0,1,0.568,Medium
kedarnath,2018-05-08,5,1,8,0,0,1,0.568,Medium
badrinath,2018-05-08,5,1,8,0,0,1,0.568,Medium
yamunotri,2018-05-09,5,2,9,0,0,0,0.5857,Medium
gangotri,2018-05-09,5,2,9,0,0,0,0.5857,Medium
kedarnath,2018-05-09,5,2,9,0,0,0,0.5857,Medium
badrinath,2018-05-09,5,2,9,0,0,0,0.5857,Medium
yamunotri,2018-05-10,5,3,10,0,1,1,0.6516,High
gangotri,2018-05-10,5,3,10,0,1,1,0.6516,High
kedarnath,2018-05-10,5,3,10,0,1,1,0.6516,High
badrinath,2018-05-10,5,3,10,0,1,1,0.6516,High
yamunotri,2018-05-11,5,4,11,0,1,1,0.8245,Medium
gangotri,2018-05-11,5,4,11,0,1,1,0.8245,High
kedarnath,2018-05-11,5,4,11,0,1,1,0.8245,High
badrinath,2018-05-11,5,4,11,0,1,1,0.8245,High
yamunotri,2018-05-12,5,5,12,1,1,0,0.7013,High
gangotri,2018-05-12,5,5,12,1,1,0,0.7013,High
kedarnath,2018-05-12,5,5,12,1,1,0,0.7013,High
badrinath,2018-05-12,5,5,12,1,1,0,0.7013,High
yamunotri,2018-05-13,5,6,13,1,0,2,0.6745,High
gangotri,2018-05-13,5,6,13,1,0,2,0.6745,High
kedarnath,2018-05-13,5,6,13,1,0,2,0.6745,High
badrinath,2018-05-13,5,6,13,1,0,2,0.6745,High
yamunotri,2018-05-14,5,0,14,0,0,0,0.3887,High
gangotri,2018-05-14,5,0,14,0,0,0,0.3887,Medium
kedarnath,2018-05-14,5,0,14,0,0,0,0.3887,Medium
badrinath,2018-05-14,5,0,14,0,0,0,0.3887,Medium
yamunotri,2018-05-15,5,1,15,0,0,1,0.5915,Medium
gangotri,2018-05-15,5,1,15,0,0,1,0.5915,Medium
kedarnath,2018-05-15,5,1,15,0,0,1,0.5915,Medium
badrinath,2018-05-15,5,1,15,0,0,1,0.5915,Medium
yamunotri,2018-05-16,5,2,16,0,0,1,0.6419,Medium
gangotri,2018-05-16,5,2,16,0,0,1,0.6419,Medium
kedarnath,2018-05-16,5,2,16,0,0,1,0.6419,Medium
badrinath,2018-05-16,5,2,16,0,0,1,0.6419,High
yamunotri,2018-05-17,5,3,17,0,0,0,0.7392,Medium
gangotri,2018-05-17,5,3,17,0,0,0,0.7392,Medium
kedarnath,2018-05-17,5,3,17,0,0,0,0.7392,Medium
badrinath,2018-05-17,5,3,17,0,0,0,0.7392,Medium
yamunotri,2018-05-18,5,4,18,0,0,0,0.5708,Medium
gangotri,2018-05-18,5,4,18,0,0,0,0.5708,Medium
kedarnath,2018-05-18,5,4,18,0,0,0,0.5708,High
badrinath,2018-05-18,5,4,18,0,0,0,0.5708,Medium
yamunotri,2018-05-19,5,5,19,1,0,1,0.7789,High
gangotri,2018-05-19,5,5,19,1,0,1,0.7789,High
kedarnath,2018-05-19,5,5,19,1,0,1,0.7789,High
badrinath,2018-05-19,5,5,19,1,0,1,0.7789,High
yamunotri,2018-05-20,5,6,20,1,0,1,0.7636,High
gangotri,2018-05-20,5,6,20,1,0,1,0.7636,High
kedarnath,2018-05-20,5,6,20,1,0,1,0.7636,High
badrinath,2018-05-20,5,6,20,1,0,1,0.7636,High
yamunotri,2018-05-21,5,0,21,0,0,1,0.3683,Medium
gangotri,2018-05-21,5,0,21,0,0,1,0.3683,Medium
kedarnath,2018-05-21,5,0,21,0,0,1,0.3683,Medium
badrinath,2018-05-21,5,0,21,0,0,1,0.3683,Medium
yamunotri,2018-05-22,5,1,22,0,0,0,0.4658,Medium
gangotri,2018-05-22,5,1,22,0,0,0,0.4658,Medium
kedarnath,2018-05-22,5,1,22,0,0,0,0.4658,Medium
